sample_id,block_id,selected_joint_action,best_joint_action_under_path,best_joint_action_under_reward_aligned,joint_action_match_under_path,joint_action_match_under_reward_aligned
4,3,bs1,local,local,0,0
4,4,local,local,bs1,1,0
4,5,bs1,local,local,0,0
4,6,local,local,local,1,1
4,7,bs1,local,bs1,0,1
4,8,local,local,local,1,1
4,9,local,local,local,1,1
4,10,bs2,local,local,0,0
4,11,local,local,local,1,1
4,12,local,local,local,1,1
4,13,bs1,local,local,0,0
4,14,local,local,local,1,1
4,15,bs1,local,local,0,0
4,16,local,local,local,1,1
4,17,local,local,local,1,1
4,18,local,local,local,1,1
4,19,local,local,bs1,1,0
4,20,bs2,local,local,0,0
4,21,bs1,local,local,0,0
4,22,bs2,local,bs2,0,1
4,23,bs1,local,local,0,0
5,0,local,local,bs1,1,0
5,1,bs2,local,bs2,0,1
5,2,local,local,local,1,1
5,3,bs1,local,local,0,0
5,4,local,local,local,1,1
5,5,bs1,local,local,0,0
5,6,bs2,local,local,0,0
5,7,local,local,bs2,1,0
5,8,local,local,local,1,1
5,9,local,local,local,1,1
5,10,local,local,local,1,1
5,11,local,local,local,1,1
5,12,local,local,local,1,1
5,13,bs1,local,local,0,0
5,14,bs1,local,local,0,0
5,15,bs2,local,bs1,0,0
5,16,local,local,local,1,1
5,17,bs1,local,local,0,0
5,18,local,local,local,1,1
5,19,bs2,local,bs2,0,1
5,20,local,local,local,1,1
5,21,local,local,local,1,1
5,22,bs1,local,bs2,0,0
5,23,bs2,local,local,0,0
6,0,local,local,bs1,1,0
6,1,bs1,local,bs2,0,0
6,2,bs1,local,local,0,0
6,3,local,local,local,1,1
6,4,local,local,local,1,1
6,5,bs2,local,local,0,0
6,6,bs2,local,local,0,0
6,7,local,local,bs2,1,0
6,8,local,local,local,1,1
6,9,local,local,local,1,1
6,10,local,local,bs2,1,0
6,11,local,local,local,1,1
6,12,local,local,local,1,1
6,13,bs1,local,local,0,0
6,14,local,local,local,1,1
6,15,bs1,local,bs1,0,1
6,16,local,local,bs2,1,0
6,17,local,local,local,1,1
6,18,bs1,local,local,0,0
6,19,local,local,bs2,1,0
6,20,local,local,local,1,1
6,21,bs1,local,local,0,0
6,22,local,local,bs2,1,0
6,23,bs2,local,local,0,0
7,0,local,local,local,1,1
7,1,local,local,bs2,1,0
7,2,local,local,local,1,1
7,3,bs2,local,local,0,0
7,4,bs1,local,bs1,0,1
7,5,local,local,local,1,1
7,6,bs1,local,local,0,0
7,7,local,local,bs1,1,0
7,8,local,local,local,1,1
7,9,bs2,local,local,0,0
7,10,bs2,local,bs2,0,1
7,11,bs2,local,local,0,0
7,12,bs2,local,local,0,0
7,13,bs1,local,bs2,0,0
7,14,local,local,local,1,1
7,15,bs2,local,local,0,0
7,16,local,local,bs2,1,0
7,17,local,local,local,1,1
7,18,bs2,local,local,0,0
7,19,bs2,local,bs2,0,1
7,20,bs1,local,local,0,0
7,21,bs1,local,local,0,0
7,22,local,local,bs2,1,0
7,23,local,local,local,1,1
8,0,bs1,local,local,0,0
8,1,bs1,local,bs1,0,1
8,2,bs1,local,local,0,0
8,3,local,local,local,1,1
8,4,local,local,bs2,1,0
8,5,local,local,local,1,1
8,6,local,local,bs2,1,0
8,7,bs1,local,bs1,0,1
8,8,local,local,local,1,1
8,9,local,local,local,1,1
8,10,bs2,local,bs2,0,1
8,11,local,local,local,1,1
8,12,local,local,bs2,1,0
8,13,local,local,bs2,1,0
8,14,bs2,local,local,0,0
8,15,bs1,local,bs2,0,0
8,16,local,local,local,1,1
8,17,local,local,local,1,1
8,18,local,local,bs2,1,0
8,19,bs2,local,bs2,0,1
8,20,local,local,local,1,1
8,21,local,local,local,1,1
8,22,local,local,local,1,1
8,23,local,local,local,1,1
9,0,bs2,local,local,0,0
9,1,local,local,bs1,1,0
9,2,bs1,local,local,0,0
9,3,bs2,local,local,0,0
9,4,local,local,bs1,1,0
9,5,bs1,local,local,0,0
9,6,local,local,local,1,1
9,7,bs2,local,bs1,0,0
9,8,bs2,local,local,0,0
9,9,bs1,local,local,0,0
9,10,bs2,local,bs1,0,0
9,11,local,local,local,1,1
9,12,bs2,local,bs2,0,1
9,13,local,local,bs1,1,0
9,14,bs2,local,local,0,0
9,15,local,local,local,1,1
9,16,local,local,local,1,1
9,17,bs2,local,local,0,0
9,18,local,local,bs1,1,0
9,19,local,local,bs1,1,0
9,20,local,local,local,1,1
9,21,bs1,local,local,0,0
9,22,local,local,bs1,1,0
9,23,bs2,local,local,0,0
10,0,local,local,bs2,1,0
10,1,bs2,local,local,0,0
10,2,bs2,local,local,0,0
10,3,bs1,local,local,0,0
10,4,local,local,bs2,1,0
10,5,local,local,local,1,1
10,6,local,local,bs2,1,0
10,7,bs1,local,bs1,0,1
10,8,local,local,local,1,1
10,9,local,local,local,1,1
10,10,bs2,local,local,0,0
10,11,local,local,local,1,1
10,12,bs1,local,bs2,0,0
10,13,local,local,bs2,1,0
10,14,bs1,local,local,0,0
10,15,local,local,local,1,1
10,16,bs1,local,local,0,0
10,17,bs1,local,local,0,0
10,18,bs1,local,local,0,0
10,19,bs2,local,bs2,0,1
10,20,local,local,local,1,1
10,21,local,local,bs2,1,0
10,22,bs2,local,bs2,0,1
10,23,local,local,local,1,1
11,0,bs1,local,local,0,0
11,1,bs1,local,local,0,0
11,2,bs1,local,local,0,0
11,3,bs2,local,local,0,0
11,4,bs2,local,bs2,0,1
11,5,bs1,local,local,0,0
11,6,local,local,local,1,1
11,7,bs1,local,bs2,0,0
11,8,local,local,local,1,1
11,9,bs2,local,local,0,0
11,10,bs1,local,bs2,0,0
11,11,local,local,local,1,1
11,12,local,local,bs2,1,0
11,13,local,local,bs2,1,0
11,14,bs1,local,local,0,0
11,15,bs1,local,local,0,0
11,16,local,local,bs2,1,0
11,17,local,local,local,1,1
11,18,bs2,local,local,0,0
11,19,bs1,local,bs2,0,0
11,20,local,local,local,1,1
11,21,local,local,bs2,1,0
11,22,bs1,local,bs2,0,0
11,23,local,local,local,1,1
12,0,bs2,local,local,0,0
12,1,bs1,local,local,0,0
12,2,bs1,local,local,0,0
12,3,bs2,local,local,0,0
12,4,local,local,bs1,1,0
12,5,bs2,local,local,0,0
12,6,local,local,local,1,1
12,7,bs2,local,bs2,0,1
12,8,local,local,local,1,1
12,9,local,local,local,1,1
12,10,bs2,local,local,0,0
12,11,local,local,local,1,1
12,12,local,local,local,1,1
12,13,local,local,bs1,1,0
12,14,local,local,local,1,1
12,15,local,local,local,1,1
12,16,bs2,local,bs2,0,1
12,17,local,local,local,1,1
12,18,local,local,local,1,1
12,19,bs2,local,bs2,0,1
12,20,local,local,local,1,1
12,21,local,local,bs2,1,0
12,22,bs1,local,bs1,0,1
12,23,local,local,local,1,1
13,0,local,local,local,1,1
13,1,local,local,local,1,1
13,2,bs2,local,local,0,0
13,3,bs1,local,local,0,0
13,4,local,local,bs2,1,0
13,5,bs2,local,local,0,0
13,6,bs1,local,local,0,0
13,7,bs1,local,bs1,0,1
13,8,local,local,local,1,1
13,9,bs1,local,local,0,0
13,10,bs1,local,local,0,0
13,11,local,local,local,1,1
13,12,local,local,local,1,1
13,13,local,local,local,1,1
13,14,local,local,local,1,1
13,15,bs2,local,local,0,0
13,16,local,local,local,1,1
13,17,bs2,local,local,0,0
13,18,bs2,local,local,0,0
13,19,local,local,bs1,1,0
13,20,bs1,local,local,0,0
13,21,bs1,local,bs1,0,1
13,22,bs1,local,bs1,0,1
13,23,local,local,local,1,1
14,0,bs1,local,local,0,0
14,1,bs2,local,local,0,0
14,2,bs2,local,local,0,0
14,3,local,local,local,1,1
14,4,local,local,bs2,1,0
14,5,local,local,bs2,1,0
14,6,local,local,local,1,1
14,7,local,local,bs2,1,0
14,8,local,local,bs2,1,0
14,9,local,local,local,1,1
14,10,bs1,local,local,0,0
14,11,local,local,local,1,1
14,12,local,local,local,1,1
14,13,bs2,local,local,0,0
14,14,local,local,local,1,1
14,15,local,local,bs2,1,0
14,16,bs2,local,bs2,0,1
14,17,bs2,local,local,0,0
14,18,local,local,local,1,1
14,19,local,local,bs2,1,0
14,20,bs1,local,local,0,0
14,21,local,local,bs2,1,0
14,22,bs1,local,bs2,0,0
14,23,bs1,local,bs2,0,0
15,0,bs2,local,local,0,0
15,1,local,local,bs2,1,0
15,2,local,local,local,1,1
15,3,bs2,local,local,0,0
15,4,bs1,local,bs2,0,0
15,5,bs1,local,bs1,0,1
15,6,local,local,local,1,1
15,7,local,local,bs2,1,0
15,8,local,local,local,1,1
15,9,local,local,local,1,1
15,10,local,local,local,1,1
15,11,bs1,local,local,0,0
15,12,bs2,local,local,0,0
15,13,bs1,local,local,0,0
15,14,local,local,bs1,1,0
15,15,bs2,local,local,0,0
15,16,local,local,bs2,1,0
15,17,local,local,local,1,1
15,18,local,local,local,1,1
15,19,bs2,local,bs2,0,1
15,20,bs1,local,local,0,0
15,21,local,local,bs1,1,0
15,22,bs1,local,bs2,0,0
15,23,bs2,local,bs2,0,1
16,0,local,local,bs2,1,0
16,1,local,local,local,1,1
16,2,bs2,local,local,0,0
16,3,local,local,bs2,1,0
16,4,local,local,bs1,1,0
16,5,bs2,local,local,0,0
16,6,bs1,local,bs1,0,1
16,7,local,local,bs1,1,0
16,8,bs2,local,local,0,0
16,9,bs1,local,local,0,0
16,10,local,local,bs1,1,0
16,11,local,local,local,1,1
16,12,bs1,local,local,0,0
16,13,local,local,local,1,1
16,14,local,local,local,1,1
16,15,bs1,local,bs2,0,0
16,16,local,local,local,1,1
16,17,bs2,local,local,0,0
16,18,local,local,local,1,1
16,19,bs1,local,local,0,0
16,20,bs2,local,local,0,0
16,21,bs2,local,bs2,0,1
16,22,local,local,local,1,1
16,23,bs1,local,local,0,0
17,0,local,local,bs1,1,0
17,1,bs1,local,local,0,0
17,2,bs2,local,local,0,0
17,3,bs1,local,local,0,0
17,4,local,local,bs2,1,0
17,5,bs2,local,local,0,0
17,6,local,local,local,1,1
17,7,local,local,local,1,1
17,8,local,local,local,1,1
17,9,bs2,local,bs1,0,0
17,10,local,bs1,bs1,0,0
17,11,local,local,local,1,1
17,12,local,local,local,1,1
17,13,local,local,local,1,1
17,14,bs2,local,local,0,0
17,15,local,local,bs1,1,0
17,16,local,local,local,1,1
17,17,local,local,local,1,1
17,18,local,local,local,1,1
17,19,local,local,bs2,1,0
17,20,bs1,local,bs2,0,0
17,21,bs1,local,bs1,0,1
17,22,bs1,local,local,0,0
17,23,bs1,local,local,0,0
18,0,bs2,local,bs2,0,1
18,1,local,local,bs1,1,0
18,2,local,local,local,1,1
18,3,bs1,local,local,0,0
18,4,bs1,local,bs1,0,1
18,5,bs1,local,local,0,0
18,6,bs1,local,local,0,0
18,7,local,local,local,1,1
18,8,bs1,local,local,0,0
18,9,local,local,bs2,1,0
18,10,local,local,local,1,1
18,11,local,local,local,1,1
18,12,bs2,local,local,0,0
18,13,bs2,local,bs1,0,0
18,14,local,local,local,1,1
18,15,local,local,bs2,1,0
18,16,bs2,local,bs2,0,1
18,17,local,local,local,1,1
18,18,bs2,local,local,0,0
18,19,local,local,bs1,1,0
18,20,bs1,local,local,0,0
18,21,bs1,local,bs2,0,0
18,22,local,local,local,1,1
18,23,local,local,local,1,1
19,0,local,local,bs1,1,0
19,1,bs2,local,bs2,0,1
19,2,bs1,local,local,0,0
19,3,local,local,local,1,1
19,4,bs1,local,local,0,0
19,5,bs1,local,local,0,0
19,6,bs1,local,local,0,0
19,7,bs1,local,local,0,0
19,8,bs2,local,local,0,0
19,9,local,local,bs1,1,0
19,10,local,local,bs2,1,0
19,11,local,local,local,1,1
19,12,local,local,local,1,1
19,13,local,local,bs2,1,0
19,14,bs1,local,local,0,0
19,15,bs1,local,local,0,0
19,16,local,local,bs2,1,0
19,17,bs1,local,local,0,0
19,18,bs2,local,local,0,0
19,19,bs2,local,bs2,0,1
19,20,bs2,local,local,0,0
19,21,bs1,local,bs1,0,1
19,22,local,local,bs2,1,0
19,23,bs1,local,local,0,0
20,0,local,local,bs2,1,0
20,1,local,local,local,1,1
20,2,local,local,bs1,1,0
20,3,local,local,local,1,1
20,4,local,local,local,1,1
20,5,bs1,local,local,0,0
20,6,bs2,local,local,0,0
20,7,bs1,local,local,0,0
20,8,bs1,local,local,0,0
20,9,local,local,local,1,1
20,10,local,local,local,1,1
20,11,local,local,local,1,1
20,12,local,local,local,1,1
20,13,local,local,bs2,1,0
20,14,bs1,local,local,0,0
20,15,bs2,local,local,0,0
20,16,bs2,local,bs2,0,1
20,17,local,local,local,1,1
20,18,bs2,local,local,0,0
20,19,local,local,bs2,1,0
20,20,bs2,local,bs1,0,0
20,21,bs1,local,bs2,0,0
20,22,bs2,local,bs2,0,1
20,23,local,local,local,1,1
21,0,local,local,bs1,1,0
21,1,local,local,local,1,1
21,2,local,local,local,1,1
21,3,bs1,local,local,0,0
21,4,local,local,bs2,1,0
21,5,bs2,local,local,0,0
21,6,local,local,bs2,1,0
21,7,bs2,local,bs2,0,1
21,8,local,local,local,1,1
21,9,local,local,local,1,1
21,10,bs2,local,local,0,0
21,11,bs2,local,local,0,0
21,12,bs1,local,local,0,0
21,13,local,local,bs2,1,0
21,14,bs2,local,local,0,0
21,15,local,local,local,1,1
21,16,local,local,local,1,1
21,17,local,local,local,1,1
21,18,local,local,local,1,1
21,19,local,local,bs2,1,0
21,20,local,local,local,1,1
21,21,bs1,local,bs2,0,0
21,22,bs2,local,bs2,0,1
21,23,local,local,local,1,1
22,0,bs1,local,bs1,0,1
22,1,local,local,local,1,1
22,2,bs1,local,local,0,0
22,3,local,local,local,1,1
22,4,bs2,local,bs2,0,1
22,5,local,local,local,1,1
22,6,local,local,bs1,1,0
22,7,local,local,bs1,1,0
22,8,bs1,local,local,0,0
22,9,bs1,local,local,0,0
22,10,bs2,local,bs1,0,0
22,11,bs1,local,local,0,0
22,12,bs2,local,local,0,0
22,13,local,local,bs2,1,0
22,14,bs1,local,local,0,0
22,15,local,local,local,1,1
22,16,bs1,local,bs1,0,1
22,17,local,local,local,1,1
22,18,bs1,local,local,0,0
22,19,local,local,bs2,1,0
22,20,local,local,bs2,1,0
22,21,local,local,local,1,1
22,22,bs2,local,local,0,0
22,23,local,local,local,1,1
23,0,local,local,local,1,1
23,1,bs2,local,local,0,0
23,2,local,local,local,1,1
23,3,bs1,local,local,0,0
23,4,bs2,local,bs2,0,1
23,5,local,local,local,1,1
23,6,local,local,bs2,1,0
23,7,bs2,local,bs1,0,0
23,8,bs1,local,local,0,0
23,9,local,local,local,1,1
23,10,bs2,local,local,0,0
23,11,bs1,local,local,0,0
23,12,bs1,local,local,0,0
23,13,bs2,local,bs2,0,1
23,14,local,local,local,1,1
23,15,local,local,local,1,1
23,16,local,local,bs1,1,0
23,17,local,local,local,1,1
23,18,bs1,local,local,0,0
23,19,bs2,local,local,0,0
23,20,local,local,local,1,1
23,21,bs2,local,bs2,0,1
23,22,local,local,bs1,1,0
23,23,bs1,local,local,0,0
